Priority,Score,PANCE Yield,System,Subcategory,Condition,Missing Fields
85,15,0,"CV","Congenital Heart Disease","Patent Foramen Ovale","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Acute Coronary Syndrome","Non-ST-Segment Elevation Myocardial Infarction (NSTEMI)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Shock","Cardiogenic Shock","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Shock","Distributive Shock","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Shock","Hypovolemic Shock","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Shock","Obstructive Shock","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Vascular Disease","Arteriovenous Malformation","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Vascular Disease","Arterial Embolism","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"CV","Vascular Disease","Phlebitis / Thrombophlebitis","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"DERM","Skin Integrity","Lacerations","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
