slug,master_mode
skill-writer,DevOpsPlatformEngineer
merge-resolver,DevOpsPlatformEngineer
devops,DevOpsPlatformEngineer
benchmark-orchestrator-performance-benchmark,DevOpsPlatformEngineer
microservices-architect,DevOpsPlatformEngineer
terraform-engineer,DevOpsPlatformEngineer
terraform-module-author,DevOpsPlatformEngineer
hierarchical-swarm-coordinator,DevOpsPlatformEngineer
database-administrator,DevOpsPlatformEngineer
database-optimizer,DevOpsPlatformEngineer
swarm-orchestrator,DevOpsPlatformEngineer
documentation-engineer,DevOpsPlatformEngineer
websocket-engineer,DevOpsPlatformEngineer
tooling-engineer,DevOpsPlatformEngineer
devops-engineer,DevOpsPlatformEngineer
devops-incident-responder,DevOpsPlatformEngineer
hardware-acceleration-engineer,DevOpsPlatformEngineer
llm-architect,DevOpsPlatformEngineer
post-deployment-monitoring-mode,DevOpsPlatformEngineer
context-manager,DevOpsPlatformEngineer
finops-optimizer,DevOpsPlatformEngineer
frontend-developer,DevOpsPlatformEngineer
mode-orchestrator,DevOpsPlatformEngineer
sales-engineer,DevOpsPlatformEngineer
ask,DevOpsPlatformEngineer
fintech-engineer,DevOpsPlatformEngineer
python-pro,DevOpsPlatformEngineer
framework-currency,DevOpsPlatformEngineer
security-engineer,DevOpsPlatformEngineer
golang-pro,DevOpsPlatformEngineer
serverless-platform-architect,DevOpsPlatformEngineer
integration,DevOpsPlatformEngineer
payment-integration,DevOpsPlatformEngineer
secrets-hygiene-auditor,DevOpsPlatformEngineer
multi-repo-swarm---cross-repository-swarm-orchestration,DevOpsPlatformEngineer
multi-agent-coordinator,DevOpsPlatformEngineer
mlops-engineer,DevOpsPlatformEngineer
vue-expert,DevOpsPlatformEngineer
platform-engineer,DevOpsPlatformEngineer
rust-engineer,DevOpsPlatformEngineer
network-engineer,DevOpsPlatformEngineer
graph-builder-graph-builder,DevOpsPlatformEngineer
spec-pseudocode,DevOpsPlatformEngineer
code-reviewer,DevOpsPlatformEngineer
legacy-modernizer,DevOpsPlatformEngineer
dependency-manager,DevOpsPlatformEngineer
angular-architect,DevOpsPlatformEngineer
java-architect,DevOpsPlatformEngineer
release-swarm---intelligent-release-automation,DevOpsPlatformEngineer
release-governance-lead,DevOpsPlatformEngineer
backend-developer,DevOpsPlatformEngineer
agent-organizer,DevOpsPlatformEngineer
edge-computing-architect,DevOpsPlatformEngineer
observability-architect,DevOpsPlatformEngineer
php-pro,DevOpsPlatformEngineer
penetration-tester,DevOpsPlatformEngineer
compliance-automation-engineer,DevOpsPlatformEngineer
iot-engineer,DevOpsPlatformEngineer
dotnet-core-expert,DevOpsPlatformEngineer
supply-chain-security-auditor,DevOpsPlatformEngineer
refinement-optimization-mode,DevOpsPlatformEngineer
blockchain-developer,DevOpsPlatformEngineer
flutter-expert,DevOpsPlatformEngineer
postgres-pro,DevOpsPlatformEngineer
github-sync-coordinator,DevOpsPlatformEngineer
github-repository-architect,DevOpsPlatformEngineer
github--multi-repo-swarm,DevOpsPlatformEngineer
github--swarm-pr,DevOpsPlatformEngineer
github--release-swarm,DevOpsPlatformEngineer
zero-trust-strategist,DevOpsPlatformEngineer
ml-engineer,DevOpsPlatformEngineer
architect,DevOpsPlatformEngineer
architect-reviewer,DevOpsPlatformEngineer
mobile-developer,DevOpsPlatformEngineer
mobile-app-developer,DevOpsPlatformEngineer
cpp-pro,DevOpsPlatformEngineer
ai-engineer,DevOpsPlatformEngineer
deployment-engineer,DevOpsPlatformEngineer
machine-learning-engineer,DevOpsPlatformEngineer
dx-optimizer,DevOpsPlatformEngineer
workflow-automation---github-actions-integration,DevOpsPlatformEngineer
workflow-orchestrator,DevOpsPlatformEngineer
cloud-architect,DevOpsPlatformEngineer
task-distributor,DevOpsPlatformEngineer
nlp-specialist,DevOpsPlatformEngineer
site-readiness-engineer,DevOpsPlatformEngineer
api-documenter,DevOpsPlatformEngineer
nextjs-developer,DevOpsPlatformEngineer
csharp-developer,DevOpsPlatformEngineer
incident-responder,DevOpsPlatformEngineer
litigation-support-usa,DevOpsPlatformEngineer
litigation-support-canada,DevOpsPlatformEngineer
feature-flag-orchestrator,DevOpsPlatformEngineer
pattern-emergence-pattern-emergence,DevOpsPlatformEngineer
kubernetes-specialist,DevOpsPlatformEngineer
performance-engineer,DevOpsPlatformEngineer
performance-monitor,DevOpsPlatformEngineer
performance-benchmark,DevOpsPlatformEngineer
computer-vision,DevOpsPlatformEngineer
electron-pro,DevOpsPlatformEngineer
data-engineer,DevOpsPlatformEngineer
tech-research-strategist,DevOpsPlatformEngineer
error-coordinator,DevOpsPlatformEngineer
error-detective,DevOpsPlatformEngineer
sparc,DevOpsPlatformEngineer
django-developer,DevOpsPlatformEngineer
chaos-engineer,DevOpsPlatformEngineer
chaos-resilience-lead,DevOpsPlatformEngineer
react-optimization-director,DevOpsPlatformEngineer
embedded-systems,DevOpsPlatformEngineer
sre-engineer,DevOpsPlatformEngineer
adaptive-swarm-coordinator,DevOpsPlatformEngineer
technical-seo-optimizer,DevOpsPlatformEngineer
git-workflow-manager,DevOpsPlatformEngineer
policy-as-code-auditor,DevOpsPlatformEngineer
laravel-specialist,DevOpsPlatformEngineer
spring-boot-engineer,DevOpsPlatformEngineer
debugger,DevOpsPlatformEngineer
sql-pro,DevOpsPlatformEngineer
documentation-writer,FullStackEngineer
full-stack-developer,FullStackEngineer
typescript-pro,FullStackEngineer
kotlin-specialist,FullStackEngineer
mcp,FullStackEngineer
supabase-admin,FullStackEngineer
