User ID,Condition ID,Attempt Count
"bf004e3b-2f32-4e21-8378-288a84f3c760","lyme-disease",2
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__genetic_lung_disease_copd_etiology__alpha_1_antitrypsin_deficiency",2
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__obstructive__chronic_obstructive_pulmonary_disease_copd",2
"bf004e3b-2f32-4e21-8378-288a84f3c760","CV__vascular_disease__acute_arterial_occlusion",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","GI__colon__diverticulosis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","GI__esophagus__gastroesophageal_reflux_disease_gerd",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","GI__liver__hepatitis_b",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","GI__metabolic_disorders__phenylketonuria_pku",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","GI__small_bowel__ileus",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","GI__stomach__gastritis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","leukemia",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","lymphoma",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","MSK__ligament_injury__anterior_cruciate_ligament_acl_tear",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","MSK__rheumatologic__kawasaki_disease",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","MSK__rheumatologic__systemic_lupus_erythematosus__msk_manifestations",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","MSK__soft_tissueoveruse__trigger_finger_stenosing_tenosynovitis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","MSK__soft_tissueoveruse__trochanteric_bursitis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","MSK__traumafracture__radial_head_fracture",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","NEURO__movement_disorder__huntington_disease",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","NEURO__neuromuscular__guillainbarr_syndrome",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","NEURO__peripheral_nerve__radial_nerve_palsy",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","NEURO__seizure__febrile_seizures_pediatric",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__interstitial__idiopathic_pulmonary_fibrosis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__interstitial__sarcoidosis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__pulmonary_circulation__pulmonary_hypertension",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__toxicenvironmental__occupational_lung_disease",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","CV__arrhythmia__premature_ventricular_contraction_pvc",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","PULM__toxicology__evali",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","CV__carditis__pericarditis",1
"bf004e3b-2f32-4e21-8378-288a84f3c760","CV__inflammatory_cardiac_conditions__rheumatic_fever_and_rheumatic_heart_disease",1
